Quantity,Discount,Sales,Category_Office Supplies,Category_Technology,Segment_Corporate,Segment_Home Office
2,0.0,261.96,False,False,False,False
3,0.0,731.94,False,False,False,False
2,0.0,14.62,True,False,True,False
5,0.45,957.5775,False,False,False,False
2,0.2,22.368,True,False,False,False
7,0.0,48.86,False,False,False,False
4,0.0,7.28,True,False,False,False
6,0.2,907.152,False,True,False,False
3,0.2,18.504,True,False,False,False
5,0.0,114.9,True,False,False,False
9,0.2,1706.184,False,False,False,False
4,0.2,911.424,False,True,False,False
3,0.2,15.552,True,False,False,False
3,0.2,407.976,True,False,False,False
5,0.8,68.81,True,False,False,True
3,0.8,2.544,True,False,False,True
6,0.0,665.88,True,False,False,False
2,0.0,55.5,True,False,False,False
2,0.0,8.56,True,False,False,False
3,0.2,213.48,False,True,False,False
4,0.2,22.72,True,False,False,False
7,0.0,19.46,True,False,True,False
7,0.0,60.34,True,False,True,False
2,0.3,71.372,False,False,False,False
3,0.0,1044.63,False,False,False,False
2,0.2,11.648,True,False,False,False
3,0.0,90.57,False,True,False,False
7,0.5,3083.43,False,False,False,False
2,0.7,9.618,True,False,False,False
3,0.2,124.2,False,False,False,False
2,0.2,3.264,True,False,False,False
6,0.2,86.304,True,False,False,False
6,0.7,6.858,True,False,False,False
2,0.2,15.76,True,False,False,False
3,0.2,29.472,True,False,False,True
7,0.2,1097.544,False,True,True,False
5,0.6,190.92,False,False,True,False
9,0.2,113.328,True,False,False,True
3,0.32,532.3992,False,False,False,True
3,0.3,212.058,False,False,False,True
4,0.2,371.168,False,True,False,True
4,0.2,147.168,False,True,True,False
2,0.0,77.88,True,False,True,False
2,0.2,95.616,True,False,True,False
2,0.0,45.98,False,True,True,False
2,0.0,17.46,True,False,True,False
4,0.0,211.96,True,False,False,False
3,0.0,45.0,False,True,False,False
2,0.0,21.8,False,True,False,False
6,0.0,38.22,True,False,False,False
6,0.0,75.18,True,False,False,False
2,0.0,6.16,False,False,False,False
1,0.0,89.99,False,False,False,False
7,0.0,15.26,True,False,True,False
5,0.0,1029.95,False,True,True,False
